Player,DRtg,Season,ORtg,USG%,VORP,WS,PER,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Year,Pos,Cluster,Role,PC1,PC2,PC3
Shabazz Muhammad,113,2017-18,109.0,23.0,-0.4,0.7,15.4,25.0,TOT,NBA,43.0,2.0,418.0,10.0,22.5,9.2,19.2,0.8,3.2,4.7,6.0,2.7,6.3,9.1,1.7,1.1,0.4,0.7,3.6,25.6,0.447,0.478,0.259,0.465,0.78,0.51,2017,SG,2,Do It All,1.151258335443182,1.0075559409241357,-0.9761952162676444
Dejounte Murray,101,2017-18,99.0,20.7,1.4,3.2,15.1,21.0,SAS,NBA,81.0,48.0,1743.0,7.8,17.7,7.6,16.7,0.3,1.0,3.0,4.3,3.2,10.1,13.3,6.7,2.8,0.9,3.9,4.4,19.0,0.44299999999999995,0.45399999999999996,0.265,0.451,0.7090000000000001,0.485,2017,PG,2,Do It All,1.2701254430033135,-0.5389118754445,-2.735748683206228
Jamal Murray,113,2017-18,112.0,22.8,1.2,5.5,16.1,20.0,DEN,NBA,81.0,80.0,2565.0,9.3,20.5,6.1,12.1,3.2,8.4,4.4,4.9,1.6,4.2,5.7,5.3,1.5,0.5,3.3,3.3,26.1,0.451,0.502,0.37799999999999995,0.529,0.905,0.5760000000000001,2017,PG,8,All Star,0.751069077593831,3.157772544854278,1.8600936811418123
Mike Muscala,110,2017-18,115.0,15.7,0.6,2.4,14.4,26.0,ATL,NBA,53.0,7.0,1060.0,6.6,14.4,3.7,6.7,2.9,7.7,2.6,2.9,2.6,8.0,10.6,2.4,1.4,1.2,1.9,3.7,18.7,0.45799999999999996,0.5589999999999999,0.371,0.5579999999999999,0.919,0.597,2017,C,7,Elite Wing,-0.5743132910425979,-0.5887732068063448,3.3855592359161855
Abdel Nader,105,2017-18,83.0,17.1,-0.5,-0.1,5.1,24.0,BOS,NBA,48.0,1.0,522.0,4.8,14.3,2.6,8.0,2.2,6.2,2.2,3.7,1.2,5.6,6.8,2.5,1.4,1.0,3.3,4.3,14.0,0.336,0.321,0.354,0.413,0.59,0.439,2017,SF,5,Perimeter Scorer,-4.891694841161442,-0.32756486230662624,-2.9265501534316924
Larry Nance,104,2017-18,125.0,15.9,1.9,5.8,20.2,25.0,TOT,NBA,66.0,27.0,1421.0,8.1,14.0,8.1,13.6,0.1,0.4,3.1,4.7,5.5,9.9,15.3,2.8,3.0,1.3,1.7,5.8,19.4,0.581,0.594,0.16699999999999998,0.584,0.664,0.605,2017,C,6,Star Inside Big,4.177451888472273,-3.4953266197863955,2.0463780969395984
Larry Nance,104,2017-18,125.0,15.9,1.9,5.8,20.2,25.0,TOT,NBA,66.0,27.0,1421.0,8.1,14.0,8.1,13.6,0.1,0.4,3.1,4.7,5.5,9.9,15.3,2.8,3.0,1.3,1.7,5.8,19.4,0.581,0.594,0.16699999999999998,0.584,0.664,0.605,2017,C,6,Star Inside Big,4.177451888472273,-3.4953266197863955,2.0463780969395984
Larry Nance,104,2017-18,125.0,15.9,1.9,5.8,20.2,25.0,TOT,NBA,66.0,27.0,1421.0,8.1,14.0,8.1,13.6,0.1,0.4,3.1,4.7,5.5,9.9,15.3,2.8,3.0,1.3,1.7,5.8,19.4,0.581,0.594,0.16699999999999998,0.584,0.664,0.605,2017,C,6,Star Inside Big,4.177451888472273,-3.4953266197863955,2.0463780969395984
Shabazz Napier,106,2017-18,107.0,19.5,0.8,3.2,14.2,26.0,POR,NBA,74.0,10.0,1535.0,7.2,17.2,4.6,10.1,2.7,7.1,3.8,4.5,0.8,4.7,5.5,4.9,2.6,0.5,2.9,2.7,20.9,0.42,0.45,0.376,0.4970000000000001,0.841,0.544,2017,PG,7,Elite Wing,-1.0820773458565012,1.9913170685481474,0.7883590530232155
Jameer Nelson,112,2017-18,99.0,13.7,-0.5,0.6,8.1,35.0,TOT,NBA,50.0,0.0,1013.0,4.5,11.6,2.6,5.7,1.9,5.9,0.8,0.9,0.6,4.3,4.9,8.5,1.3,0.2,3.2,3.8,11.7,0.389,0.45,0.331,0.473,0.8,0.489,2017,PG,5,Perimeter Scorer,-4.880539266704554,-0.1101648119486563,0.1955745643157283
Jameer Nelson,112,2017-18,99.0,13.7,-0.5,0.6,8.1,35.0,TOT,NBA,50.0,0.0,1013.0,4.5,11.6,2.6,5.7,1.9,5.9,0.8,0.9,0.6,4.3,4.9,8.5,1.3,0.2,3.2,3.8,11.7,0.389,0.45,0.331,0.473,0.8,0.489,2017,PG,5,Perimeter Scorer,-4.880539266704554,-0.1101648119486563,0.1955745643157283
Jameer Nelson,112,2017-18,99.0,13.7,-0.5,0.6,8.1,35.0,TOT,NBA,50.0,0.0,1013.0,4.5,11.6,2.6,5.7,1.9,5.9,0.8,0.9,0.6,4.3,4.9,8.5,1.3,0.2,3.2,3.8,11.7,0.389,0.45,0.331,0.473,0.8,0.489,2017,PG,5,Perimeter Scorer,-4.880539266704554,-0.1101648119486563,0.1955745643157283
Raul Neto,108,2017-18,105.0,18.3,-0.1,0.9,11.9,25.0,UTA,NBA,41.0,0.0,498.0,6.9,15.2,5.0,10.5,1.9,4.7,2.6,3.5,0.7,4.2,4.9,7.6,1.3,0.4,3.6,3.8,18.4,0.457,0.48100000000000004,0.40399999999999997,0.52,0.743,0.55,2017,PG,1,3&D,-1.6106593751078868,0.7814814933781634,0.5510930257773299
Nerlens Noel,100,2017-18,109.0,13.8,0.4,1.3,16.2,23.0,DAL,NBA,30.0,6.0,472.0,5.8,11.2,5.8,11.1,0.0,0.1,2.2,3.0,5.1,12.8,17.9,2.1,3.3,2.3,2.8,6.3,13.9,0.524,0.529,0.0,0.524,0.75,0.5579999999999999,2017,C,9,Elite Inside Big,1.7181581938607953,-5.077780856652443,-0.44796587148711453
Lucas Nogueira,98,2017-18,123.0,11.4,0.8,1.6,17.3,25.0,TOR,NBA,49.0,3.0,418.0,5.8,9.4,5.2,7.2,0.6,2.2,2.2,3.3,2.1,8.1,10.3,2.6,2.7,5.1,1.9,5.8,14.4,0.613,0.721,0.263,0.644,0.679,0.6609999999999999,2017,C,2,Do It All,2.5510808010030086,-5.357377717583939,4.237796883618487
Dirk Nowitzki,108,2017-18,112.0,20.5,1.1,4.8,16.7,39.0,DAL,NBA,77.0,77.0,1900.0,9.1,20.0,5.5,11.1,3.6,8.9,2.6,2.9,0.6,11.0,11.6,3.2,1.1,1.2,1.3,3.9,24.5,0.456,0.494,0.409,0.547,0.898,0.575,2017,C,7,Elite Wing,0.727828665287969,1.1041330969316119,2.584794385300059
Frank Ntilikina,112,2017-18,89.0,16.9,-0.8,-0.9,7.0,19.0,NYK,NBA,78.0,9.0,1706.0,5.3,14.5,3.8,10.0,1.5,4.6,1.4,2.0,1.1,4.1,5.1,7.3,1.9,0.5,3.8,5.3,13.5,0.364,0.385,0.318,0.414,0.721,0.4370000000000001,2017,PG,5,Perimeter Scorer,-4.765351738307243,0.20540921910558718,-2.6973331652834354
Jusuf Nurkić,101,2017-18,102.0,26.4,1.2,4.7,19.2,23.0,POR,NBA,79.0,79.0,2088.0,11.4,22.7,11.4,22.5,0.0,0.2,4.1,6.5,4.5,12.4,16.9,3.4,1.5,2.6,4.4,5.9,27.0,0.505,0.508,0.0,0.505,0.63,0.528,2017,C,9,Elite Inside Big,5.791498246802053,-1.339161626536796,-3.212586615294805
David Nwaba,110,2017-18,107.0,15.6,0.1,2.4,12.2,25.0,CHI,NBA,70.0,21.0,1646.0,6.0,12.5,5.5,11.0,0.5,1.5,3.9,6.0,2.6,7.0,9.7,3.1,1.7,0.9,2.3,4.7,16.5,0.478,0.496,0.34600000000000003,0.499,0.655,0.542,2017,SG,1,3&D,-0.37022133659094436,-1.6973266781179985,0.12845530251230003
Royce O'Neale,104,2017-18,105.0,14.6,0.4,2.4,10.8,24.0,UTA,NBA,69.0,4.0,1150.0,5.2,12.4,3.4,7.2,1.8,5.1,2.7,3.3,1.1,9.2,10.3,4.1,1.6,0.7,2.4,4.6,15.0,0.423,0.47,0.35600000000000004,0.496,0.8029999999999999,0.54,2017,SF,1,3&D,-1.9044416582871062,-1.2030721464146583,0.7959713627801819
Kyle O'Quinn,105,2017-18,118.0,17.0,2.3,4.8,20.0,27.0,NYK,NBA,77.0,10.0,1387.0,8.0,13.7,7.9,13.1,0.1,0.6,3.5,4.5,4.3,12.5,16.8,5.6,1.3,3.5,3.6,6.9,19.7,0.583,0.599,0.235,0.589,0.772,0.625,2017,C,6,Star Inside Big,4.75954654813711,-3.536863597092188,1.6451070391274993
Semi Ojeleye,107,2017-18,97.0,9.0,-0.4,1.2,4.6,23.0,BOS,NBA,73.0,0.0,1150.0,2.8,8.2,1.1,2.7,1.7,5.4,1.1,1.8,1.6,5.4,7.0,0.9,0.9,0.2,1.1,4.0,8.5,0.34600000000000003,0.397,0.32,0.452,0.61,0.473,2017,PF,5,Perimeter Scorer,-6.041960708793801,-2.650270382095544,0.18487055125169213
Victor Oladipo,104,2017-18,110.0,30.1,4.5,8.2,23.1,25.0,IND,NBA,75.0,75.0,2552.0,12.5,26.3,9.4,17.8,3.2,8.5,5.8,7.2,0.9,6.7,7.6,6.3,3.5,1.1,4.3,3.4,34.0,0.47700000000000004,0.528,0.371,0.537,0.799,0.5770000000000001,2017,SG,8,All Star,5.105063386891807,4.879965651565809,0.5894606914294159
Kelly Olynyk,105,2017-18,112.0,21.7,2.2,5.5,17.8,26.0,MIA,NBA,76.0,22.0,1779.0,8.9,17.9,5.9,10.0,3.0,7.9,3.8,4.9,2.5,9.7,12.2,5.8,1.7,1.0,4.1,6.3,24.6,0.4970000000000001,0.59,0.379,0.58,0.77,0.612,2017,PF,8,All Star,2.725654775735045,0.417280050042747,2.231667358392289
Cedi Osman,112,2017-18,108.0,15.7,-0.2,0.9,11.0,22.0,CLE,NBA,61.0,12.0,672.0,6.6,13.6,4.2,7.2,2.3,6.3,1.9,3.4,1.4,7.4,8.7,3.0,1.6,0.2,2.3,5.7,17.3,0.484,0.586,0.368,0.57,0.565,0.5770000000000001,2017,SF,1,3&D,-1.3445451608414105,-1.59689262478666,2.234632278476416
Kelly Oubre,109,2017-18,106.0,19.4,0.4,3.7,11.9,22.0,WAS,NBA,81.0,11.0,2231.0,7.1,17.6,4.3,9.4,2.8,8.2,4.3,5.2,1.3,6.8,8.1,2.2,1.8,0.8,2.0,5.2,21.2,0.40299999999999997,0.456,0.341,0.48200000000000004,0.82,0.534,2017,SF,7,Elite Wing,-1.1073504467841184,0.8926525252005891,0.6416887197391012
Zaza Pachulia,105,2017-18,117.0,17.0,0.7,3.3,17.0,33.0,GSW,NBA,69.0,57.0,972.0,7.4,13.1,7.4,13.0,0.0,0.0,3.7,4.6,4.4,11.5,15.9,5.4,1.9,0.8,3.6,6.0,18.5,0.564,0.5670000000000001,0.0,0.564,0.8059999999999999,0.612,2017,C,9,Elite Inside Big,3.304735199219916,-3.118444393443962,0.7300745865558126
Jabari Parker,111,2017-18,106.0,24.4,0.0,1.2,17.1,22.0,MIL,NBA,31.0,3.0,743.0,10.7,22.3,8.7,16.8,2.1,5.4,2.7,3.6,2.8,7.3,10.1,4.0,1.7,0.7,3.0,3.4,26.2,0.48200000000000004,0.514,0.38299999999999995,0.529,0.741,0.55,2017,PF,2,Do It All,1.5863414937045623,1.4463986488288505,-3.946629894241822e-05
Tony Parker,109,2017-18,103.0,20.5,-0.6,1.4,12.7,35.0,SAS,NBA,55.0,21.0,1071.0,8.4,18.3,7.9,16.6,0.5,1.7,2.6,3.7,0.3,4.2,4.5,9.2,1.3,0.0,3.2,2.5,19.9,0.45899999999999996,0.479,0.27,0.47200000000000003,0.705,0.498,2017,PG,1,3&D,-0.7711315402131997,1.301019972145022,-1.4150745347679854
Chandler Parsons,113,2017-18,110.0,18.3,0.1,1.1,13.6,29.0,MEM,NBA,36.0,8.0,691.0,7.9,17.1,4.2,8.3,3.7,8.9,1.2,2.0,1.0,5.6,6.6,5.0,1.3,0.8,2.6,3.9,20.8,0.462,0.504,0.42100000000000004,0.5710000000000001,0.63,0.578,2017,SF,1,3&D,-1.5658643760263324,0.6138524613505538,2.515468953140585
Patrick Patterson,108,2017-18,114.0,10.8,0.2,2.6,10.0,28.0,OKC,NBA,82.0,3.0,1270.0,4.1,10.4,1.6,3.7,2.6,6.7,1.6,1.8,1.3,6.3,7.5,2.2,1.9,0.9,1.3,3.4,12.4,0.39799999999999996,0.42100000000000004,0.386,0.523,0.87,0.555,2017,PF,1,3&D,-3.769985188373085,-1.160182668908028,2.7297018084089824
Brandon Paul,105,2017-18,94.0,13.6,-0.1,0.5,7.4,26.0,SAS,NBA,64.0,2.0,576.0,4.8,11.1,3.5,6.4,1.3,4.7,1.9,3.8,0.5,5.4,6.0,3.2,2.2,0.6,2.5,5.1,12.9,0.433,0.5479999999999999,0.278,0.4920000000000001,0.512,0.504,2017,SG,5,Perimeter Scorer,-3.183731160901746,-2.1501644682198613,-0.18142133526326729
Chris Paul,105,2017-18,126.0,24.5,4.2,10.2,24.4,32.0,HOU,NBA,58.0,58.0,1847.0,9.8,21.3,5.9,11.2,3.8,10.1,5.4,5.9,1.0,7.4,8.3,12.2,2.6,0.4,3.4,3.8,28.8,0.46,0.532,0.38,0.55,0.919,0.604,2017,PG,4,Superstar,3.6233997846171073,4.236252655602977,3.1779744823930023
Cameron Payne,111,2017-18,104.0,19.3,0.2,0.8,14.0,23.0,CHI,NBA,25.0,14.0,582.0,7.3,18.0,4.4,10.4,2.9,7.6,1.0,1.3,1.5,4.3,5.8,9.5,2.2,0.8,3.0,3.7,18.5,0.405,0.419,0.385,0.486,0.75,0.498,2017,PG,1,3&D,-2.6127140759419314,1.5889427840889156,-0.048136394195952954
Elfrid Payton,111,2017-18,105.0,21.9,1.0,2.8,16.5,23.0,TOT,NBA,63.0,63.0,1808.0,8.8,17.9,8.0,15.5,0.8,2.5,2.9,4.5,1.7,5.6,7.4,10.6,2.2,0.6,4.5,4.0,21.4,0.493,0.52,0.326,0.516,0.649,0.5379999999999999,2017,PG,2,Do It All,1.1688746449884835,1.1206477797914047,-0.7420932656142589
Elfrid Payton,111,2017-18,105.0,21.9,1.0,2.8,16.5,23.0,TOT,NBA,63.0,63.0,1808.0,8.8,17.9,8.0,15.5,0.8,2.5,2.9,4.5,1.7,5.6,7.4,10.6,2.2,0.6,4.5,4.0,21.4,0.493,0.52,0.326,0.516,0.649,0.5379999999999999,2017,PG,2,Do It All,1.1688746449884835,1.1206477797914047,-0.7420932656142589
Elfrid Payton,111,2017-18,105.0,21.9,1.0,2.8,16.5,23.0,TOT,NBA,63.0,63.0,1808.0,8.8,17.9,8.0,15.5,0.8,2.5,2.9,4.5,1.7,5.6,7.4,10.6,2.2,0.6,4.5,4.0,21.4,0.493,0.52,0.326,0.516,0.649,0.5379999999999999,2017,PG,2,Do It All,1.1688746449884835,1.1206477797914047,-0.7420932656142589
Mason Plumlee,107,2017-18,112.0,16.6,1.4,3.6,16.9,27.0,DEN,NBA,74.0,26.0,1439.0,7.6,12.7,7.6,12.6,0.0,0.0,2.8,6.2,4.5,9.2,13.8,4.9,1.7,2.8,3.5,6.3,18.1,0.601,0.602,0.0,0.601,0.45799999999999996,0.586,2017,C,9,Elite Inside Big,3.6824299246693415,-4.37415349795179,0.5797729342200593
Miles Plumlee,111,2017-18,102.0,12.8,-0.1,0.9,10.6,29.0,ATL,NBA,55.0,35.0,918.0,5.6,9.6,5.6,9.6,0.0,0.0,1.4,3.2,4.1,8.0,12.1,2.4,0.9,1.6,3.4,4.2,12.6,0.583,0.583,0.0,0.583,0.45,0.574,2017,C,3,Backup Inside Big,0.1798273842373571,-5.029073960511649,0.6534874350318214
Jakob Pöltl,104,2017-18,122.0,14.8,2.0,5.6,17.5,22.0,TOR,NBA,82.0,0.0,1524.0,8.2,12.4,8.2,12.4,0.0,0.1,1.9,3.3,5.3,7.4,12.7,1.8,1.3,3.2,2.7,6.9,18.3,0.659,0.66,0.5,0.66,0.594,0.662,2017,C,8,All Star,4.3283182749942,-4.517873861376943,3.79334296292416
Otto Porter,107,2017-18,120.0,18.4,3.4,8.1,18.3,24.0,WAS,NBA,77.0,77.0,2432.0,9.1,18.1,6.3,11.7,2.8,6.4,2.2,2.6,2.1,7.9,10.0,3.2,2.4,0.8,1.5,3.1,23.2,0.503,0.537,0.441,0.581,0.828,0.602,2017,SF,8,All Star,1.977376868524661,0.7461391336251506,3.7898446899090463
Bobby Portis,110,2017-18,108.0,26.0,1.0,3.5,19.7,22.0,CHI,NBA,73.0,4.0,1643.0,11.4,24.1,9.0,17.5,2.4,6.6,3.6,4.6,4.7,10.1,14.8,3.7,1.5,0.7,3.1,3.9,28.6,0.47100000000000003,0.514,0.359,0.52,0.769,0.5479999999999999,2017,PF,2,Do It All,3.302854023248576,1.4845499684162906,-0.1494053090178771
Kristaps Porziņģis,108,2017-18,105.0,31.0,0.5,3.2,20.4,22.0,NYK,NBA,48.0,48.0,1553.0,12.4,28.4,9.6,21.1,2.9,7.3,7.0,8.8,2.0,8.1,10.1,1.8,1.1,3.7,3.0,4.5,34.7,0.439,0.45399999999999996,0.395,0.489,0.7929999999999999,0.539,2017,PF,2,Do It All,4.349772763412384,3.273672698126518,-1.4921786304080684
Dwight Powell,107,2017-18,129.0,15.5,2.0,6.6,18.8,26.0,DAL,NBA,79.0,25.0,1672.0,7.7,12.9,6.8,10.4,0.8,2.5,4.0,5.6,4.1,9.3,13.3,2.7,2.0,1.0,1.8,5.6,20.1,0.593,0.6559999999999999,0.33299999999999996,0.626,0.7190000000000001,0.6559999999999999,2017,C,8,All Star,3.9029846681209137,-2.674348095799947,4.264211127881
Norman Powell,107,2017-18,94.0,18.9,-0.2,0.6,8.5,24.0,TOR,NBA,70.0,18.0,1062.0,7.0,17.4,4.5,8.7,2.5,8.6,1.5,1.8,0.6,4.9,5.5,4.1,1.7,0.7,3.1,5.2,17.9,0.401,0.516,0.285,0.47200000000000003,0.821,0.4920000000000001,2017,SG,5,Perimeter Scorer,-2.943294199772402,0.519368471226166,-0.3418733258520428
Ivan Rabb,110,2017-18,112.0,17.7,0.1,1.2,16.6,20.0,MEM,NBA,36.0,5.0,516.0,8.4,14.9,8.4,14.9,0.0,0.0,2.8,3.5,5.2,10.3,15.5,3.1,1.2,1.3,3.4,5.4,19.7,0.5660000000000001,0.5660000000000001,0.0,0.5660000000000001,0.8059999999999999,0.599,2017,PF,9,Elite Inside Big,2.9656331793004296,-3.13746944461604,0.3809390281549232
Julius Randle,107,2017-18,112.0,25.3,1.6,6.6,19.9,23.0,LAL,NBA,82.0,49.0,2190.0,11.0,19.7,10.8,18.8,0.2,1.0,6.7,9.3,4.0,10.3,14.3,4.6,0.9,1.0,4.7,6.0,28.9,0.5579999999999999,0.575,0.222,0.563,0.718,0.606,2017,C,6,Star Inside Big,6.371867108977115,0.044752083410801904,-0.33622771464023127
Zach Randolph,111,2017-18,101.0,27.6,0.1,1.5,17.3,36.0,SAC,NBA,59.0,57.0,1508.0,12.1,25.6,10.4,20.7,1.7,4.9,2.8,3.6,3.3,10.1,13.3,4.3,1.4,0.3,3.9,4.0,28.7,0.473,0.503,0.34700000000000003,0.507,0.785,0.529,2017,PF,2,Do It All,2.7694552987246976,1.9225090968382426,-1.5629441215109359
J.J. Redick,110,2017-18,119.0,21.7,1.1,6.6,15.9,33.0,PHI,NBA,70.0,70.0,2116.0,9.2,20.0,4.8,9.5,4.4,10.5,4.5,5.0,0.2,3.8,4.0,4.8,0.8,0.1,2.3,2.8,27.2,0.46,0.504,0.42,0.569,0.904,0.614,2017,SG,8,All Star,0.4022800846795096,3.5384331091220114,3.8712204485147543
Willie Reed,108,2017-18,125.0,16.6,0.1,1.5,19.2,27.0,TOT,NBA,42.0,5.0,428.0,9.2,13.8,9.1,13.5,0.1,0.2,3.6,6.3,4.0,9.8,13.8,1.1,1.0,2.5,2.2,6.4,22.2,0.669,0.672,0.5,0.674,0.5820000000000001,0.6709999999999999,2017,C,2,Do It All,4.837517149220655,-3.8348874938531243,3.602159822519224
Willie Reed,108,2017-18,125.0,16.6,0.1,1.5,19.2,27.0,TOT,NBA,42.0,5.0,428.0,9.2,13.8,9.1,13.5,0.1,0.2,3.6,6.3,4.0,9.8,13.8,1.1,1.0,2.5,2.2,6.4,22.2,0.669,0.672,0.5,0.674,0.5820000000000001,0.6709999999999999,2017,C,2,Do It All,4.837517149220655,-3.8348874938531243,3.602159822519224
Willie Reed,108,2017-18,125.0,16.6,0.1,1.5,19.2,27.0,TOT,NBA,42.0,5.0,428.0,9.2,13.8,9.1,13.5,0.1,0.2,3.6,6.3,4.0,9.8,13.8,1.1,1.0,2.5,2.2,6.4,22.2,0.669,0.672,0.5,0.674,0.5820000000000001,0.6709999999999999,2017,C,2,Do It All,4.837517149220655,-3.8348874938531243,3.602159822519224
Josh Richardson,106,2017-18,106.0,18.2,2.3,5.4,13.6,24.0,MIA,NBA,81.0,81.0,2689.0,7.4,16.5,5.1,10.3,2.4,6.3,2.2,2.7,1.3,4.0,5.3,4.3,2.3,1.4,2.6,3.7,19.5,0.451,0.495,0.37799999999999995,0.523,0.845,0.551,2017,SF,7,Elite Wing,-0.5853819583846827,0.8961326656125598,1.6274551528533803
Austin Rivers,113,2017-18,105.0,20.6,0.6,2.4,12.6,25.0,LAC,NBA,61.0,59.0,2057.0,8.1,19.0,4.8,10.5,3.2,8.5,2.4,3.8,0.6,2.8,3.4,5.7,1.7,0.4,2.6,3.6,21.7,0.424,0.461,0.37799999999999995,0.508,0.642,0.526,2017,SG,1,3&D,-1.8859134269938103,2.0948577743509698,0.823005824554415
Andre Roberson,107,2017-18,114.0,8.6,0.9,2.2,10.9,26.0,OKC,NBA,39.0,39.0,1037.0,4.2,7.8,3.8,6.0,0.4,1.7,0.6,1.8,3.6,5.3,8.9,2.2,2.2,1.7,1.4,4.3,9.3,0.537,0.627,0.222,0.562,0.316,0.5429999999999999,2017,SG,3,Backup Inside Big,-1.3747410692981215,-5.411771624008981,2.291691994474851
Rajon Rondo,109,2017-18,109.0,16.9,0.4,3.6,15.3,31.0,NOP,NBA,65.0,63.0,1705.0,6.5,13.8,5.1,9.6,1.4,4.2,0.7,1.3,0.9,6.5,7.4,14.9,2.0,0.3,4.2,3.3,15.0,0.46799999999999997,0.526,0.33299999999999996,0.518,0.5429999999999999,0.522,2017,PG,2,Do It All,-1.2342868010181534,0.0012564134013249855,0.4005361755640701
Derrick Rose,116,2017-18,97.0,25.4,-0.6,-0.2,11.5,29.0,TOT,NBA,25.0,7.0,420.0,9.5,21.8,8.7,18.3,0.8,3.5,4.7,5.4,1.5,2.6,4.1,4.3,0.8,0.5,4.1,1.9,24.5,0.435,0.474,0.233,0.45399999999999996,0.87,0.507,2017,PG,5,Perimeter Scorer,-0.1919683349874048,2.879028322071398,-2.074587139728364
Derrick Rose,116,2017-18,97.0,25.4,-0.6,-0.2,11.5,29.0,TOT,NBA,25.0,7.0,420.0,9.5,21.8,8.7,18.3,0.8,3.5,4.7,5.4,1.5,2.6,4.1,4.3,0.8,0.5,4.1,1.9,24.5,0.435,0.474,0.233,0.45399999999999996,0.87,0.507,2017,PG,5,Perimeter Scorer,-0.1919683349874048,2.879028322071398,-2.074587139728364
Derrick Rose,116,2017-18,97.0,25.4,-0.6,-0.2,11.5,29.0,TOT,NBA,25.0,7.0,420.0,9.5,21.8,8.7,18.3,0.8,3.5,4.7,5.4,1.5,2.6,4.1,4.3,0.8,0.5,4.1,1.9,24.5,0.435,0.474,0.233,0.45399999999999996,0.87,0.507,2017,PG,5,Perimeter Scorer,-0.1919683349874048,2.879028322071398,-2.074587139728364
Terrence Ross,110,2017-18,96.0,17.3,0.0,0.3,9.9,26.0,ORL,NBA,24.0,20.0,600.0,6.2,15.6,3.8,8.0,2.4,7.6,2.2,2.9,0.8,5.1,6.0,3.1,2.2,0.9,2.4,3.7,17.1,0.39799999999999996,0.469,0.32299999999999995,0.47600000000000003,0.75,0.505,2017,SG,5,Perimeter Scorer,-3.1546624928396105,0.34048774165261914,-0.012342055977682165
Terry Rozier,104,2017-18,109.0,20.4,2.0,5.6,15.1,23.0,BOS,NBA,80.0,16.0,2068.0,7.6,19.3,3.9,9.6,3.7,9.7,2.8,3.6,1.5,7.6,9.1,5.6,1.9,0.5,1.9,3.0,21.7,0.395,0.41,0.381,0.491,0.772,0.52,2017,PG,7,Elite Wing,-0.8083255566202424,1.8723246984601662,1.0802842163371134
Ricky Rubio,103,2017-18,105.0,22.9,2.1,5.3,15.4,27.0,UTA,NBA,77.0,77.0,2254.0,7.7,18.4,5.6,12.3,2.1,6.1,4.9,5.7,1.0,6.8,7.8,9.1,2.7,0.2,4.6,4.6,22.4,0.418,0.451,0.35200000000000004,0.47600000000000003,0.866,0.537,2017,PG,7,Elite Wing,0.6944044361655802,2.573881886587408,-0.6449884462755507
D'Angelo Russell,111,2017-18,98.0,30.8,0.5,0.4,15.2,21.0,BRK,NBA,48.0,35.0,1234.0,10.9,26.4,7.4,15.5,3.5,10.9,3.8,5.2,1.2,6.3,7.4,9.8,1.4,0.7,5.8,3.7,29.2,0.414,0.47700000000000004,0.324,0.48100000000000004,0.74,0.509,2017,PG,1,3&D,0.852058736205389,4.5533106016342275,-1.860117053328184
Domantas Sabonis,107,2017-18,110.0,22.1,0.8,4.7,17.5,21.0,IND,NBA,74.0,19.0,1810.0,9.4,18.3,9.0,17.2,0.4,1.0,4.6,6.2,4.6,11.2,15.8,4.2,1.1,0.9,3.8,6.1,23.8,0.514,0.524,0.35100000000000003,0.524,0.75,0.5670000000000001,2017,C,2,Do It All,3.851285457560973,-0.9228745320010303,-0.6084703019293969
Dario Šarić,107,2017-18,113.0,20.9,2.0,6.6,15.8,23.0,PHI,NBA,78.0,73.0,2310.0,8.4,18.5,5.1,10.2,3.3,8.3,3.7,4.3,3.2,7.6,10.8,4.2,1.1,0.4,3.1,3.3,23.8,0.45299999999999996,0.501,0.39299999999999996,0.541,0.86,0.5820000000000001,2017,PF,8,All Star,1.1745568340862755,1.473539396314819,2.2560823357812967
Tomáš Satoranský,111,2017-18,124.0,13.7,1.3,5.0,15.4,26.0,WAS,NBA,73.0,30.0,1643.0,6.1,11.6,4.7,8.6,1.4,3.1,2.3,2.9,2.2,4.9,7.0,8.6,1.6,0.5,2.5,4.0,15.8,0.523,0.544,0.465,0.585,0.7809999999999999,0.615,2017,SG,7,Elite Wing,-0.07452935394690763,-0.6917630067081939,3.7271969256545807
Dennis Schröder,113,2017-18,104.0,30.4,0.7,2.6,17.3,24.0,ATL,NBA,67.0,67.0,2078.0,11.8,26.9,10.0,20.8,1.8,6.2,5.3,6.2,1.0,3.9,4.9,9.8,1.7,0.1,4.3,3.5,30.6,0.436,0.48,0.29,0.469,0.8490000000000001,0.515,2017,PG,2,Do It All,2.12339422951718,5.003755501704437,-1.9140622788855712
Mike Scott,111,2017-18,109.0,20.0,-0.1,2.5,13.6,29.0,WAS,NBA,76.0,1.0,1406.0,9.7,18.5,7.4,12.8,2.3,5.8,1.8,2.7,1.8,7.0,8.7,2.8,0.8,0.4,2.8,5.2,23.6,0.527,0.5820000000000001,0.405,0.59,0.6579999999999999,0.599,2017,PF,1,3&D,0.9190239305999315,-0.21571204356331283,2.1215698789361532
