Unnamed: 0,Player,DRtg,Season,ORtg,USG%,VORP,WS,PER,Rk,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Year,Pos
61,Malcolm Brogdon,108,2018-19,121.0,20.7,1.6,6.5,17.8,70.0,26.0,MIL,NBA,64.0,64.0,1832.0,9.6,19.0,7.0,12.8,2.6,6.2,3.6,3.9,1.6,5.7,7.3,5.2,1.2,0.3,2.3,2.6,25.4,0.505,0.544,0.426,0.575,0.9279999999999999,0.614,2018,SG
62,Bruce Brown,110,2018-19,100.0,11.5,0.0,1.5,6.9,73.0,22.0,DET,NBA,74.0,56.0,1449.0,4.3,10.7,3.4,7.5,0.8,3.2,1.5,2.0,1.6,4.7,6.3,3.1,1.4,1.2,1.6,6.1,10.9,0.39799999999999996,0.457,0.258,0.436,0.75,0.469,2018,SG
63,Jaylen Brown,109,2018-19,104.0,22.1,0.0,3.0,13.5,74.0,22.0,BOS,NBA,74.0,25.0,1913.0,9.3,19.9,6.9,13.0,2.4,6.9,3.3,5.1,1.6,6.2,7.9,2.5,1.7,0.8,2.5,4.7,24.3,0.465,0.529,0.344,0.525,0.6579999999999999,0.547,2018,SG
64,Sterling Brown,108,2018-19,109.0,15.2,0.1,2.1,10.9,76.0,23.0,MIL,NBA,58.0,7.0,1034.0,6.5,14.0,4.1,7.4,2.4,6.6,1.3,1.9,1.3,7.0,8.3,3.8,1.1,0.4,2.1,4.0,16.7,0.465,0.5579999999999999,0.361,0.55,0.69,0.563,2018,SG
65,Troy Brown,115,2018-19,105.0,16.5,-0.3,0.6,11.1,77.0,19.0,WAS,NBA,52.0,10.0,730.0,6.3,15.2,4.9,10.7,1.4,4.5,2.1,3.0,2.3,7.1,9.4,5.2,1.4,0.3,1.9,3.6,16.1,0.415,0.455,0.319,0.462,0.6809999999999999,0.48700000000000004,2018,SF
66,Jalen Brunson,114,2018-19,110.0,19.1,-0.2,2.6,12.8,78.0,22.0,DAL,NBA,73.0,38.0,1591.0,8.0,17.2,6.1,11.7,1.9,5.5,2.7,3.7,0.8,4.4,5.2,7.0,1.1,0.1,2.7,3.9,20.7,0.467,0.523,0.348,0.523,0.725,0.5489999999999999,2018,PG
67,Thomas Bryant,112,2018-19,130.0,17.6,1.3,5.6,21.0,79.0,21.0,WAS,NBA,72.0,53.0,1496.0,9.8,15.9,8.7,12.8,1.0,3.1,3.4,4.3,3.6,10.8,14.4,2.9,0.8,2.1,1.9,4.0,24.0,0.616,0.685,0.33299999999999996,0.648,0.7809999999999999,0.674,2018,C
68,Reggie Bullock,113,2018-19,111.0,15.8,0.5,3.1,10.5,80.0,27.0,TOT,NBA,63.0,60.0,1879.0,6.3,15.3,2.5,5.2,3.8,10.1,1.9,2.2,0.6,3.9,4.5,3.3,1.0,0.3,1.7,2.8,18.4,0.41200000000000003,0.483,0.377,0.537,0.8590000000000001,0.563,2018,SG
69,Reggie Bullock,113,2018-19,111.0,15.8,0.5,3.1,10.5,80.0,27.0,TOT,NBA,63.0,60.0,1879.0,6.3,15.3,2.5,5.2,3.8,10.1,1.9,2.2,0.6,3.9,4.5,3.3,1.0,0.3,1.7,2.8,18.4,0.41200000000000003,0.483,0.377,0.537,0.8590000000000001,0.563,2018,SG
70,Reggie Bullock,113,2018-19,111.0,15.8,0.5,3.1,10.5,80.0,27.0,TOT,NBA,63.0,60.0,1879.0,6.3,15.3,2.5,5.2,3.8,10.1,1.9,2.2,0.6,3.9,4.5,3.3,1.0,0.3,1.7,2.8,18.4,0.41200000000000003,0.483,0.377,0.537,0.8590000000000001,0.563,2018,SG
71,Trey Burke,116,2018-19,110.0,24.8,-0.1,1.9,16.5,81.0,26.0,TOT,NBA,58.0,8.0,1125.0,10.1,23.5,7.7,16.7,2.4,6.8,4.4,5.3,1.2,3.0,4.3,6.8,1.4,0.3,2.1,2.5,27.1,0.431,0.46299999999999997,0.35200000000000004,0.48200000000000004,0.831,0.524,2018,PG
72,Trey Burke,116,2018-19,110.0,24.8,-0.1,1.9,16.5,81.0,26.0,TOT,NBA,58.0,8.0,1125.0,10.1,23.5,7.7,16.7,2.4,6.8,4.4,5.3,1.2,3.0,4.3,6.8,1.4,0.3,2.1,2.5,27.1,0.431,0.46299999999999997,0.35200000000000004,0.48200000000000004,0.831,0.524,2018,PG
73,Trey Burke,116,2018-19,110.0,24.8,-0.1,1.9,16.5,81.0,26.0,TOT,NBA,58.0,8.0,1125.0,10.1,23.5,7.7,16.7,2.4,6.8,4.4,5.3,1.2,3.0,4.3,6.8,1.4,0.3,2.1,2.5,27.1,0.431,0.46299999999999997,0.35200000000000004,0.48200000000000004,0.831,0.524,2018,PG
74,Alec Burks,114,2018-19,106.0,19.0,-0.1,1.5,12.7,82.0,27.0,TOT,NBA,64.0,24.0,1375.0,6.8,16.9,4.7,10.9,2.2,6.0,4.1,5.0,1.1,7.3,8.4,4.6,1.4,0.7,2.3,3.2,20.0,0.405,0.428,0.363,0.469,0.823,0.523,2018,SG
75,Alec Burks,114,2018-19,106.0,19.0,-0.1,1.5,12.7,82.0,27.0,TOT,NBA,64.0,24.0,1375.0,6.8,16.9,4.7,10.9,2.2,6.0,4.1,5.0,1.1,7.3,8.4,4.6,1.4,0.7,2.3,3.2,20.0,0.405,0.428,0.363,0.469,0.823,0.523,2018,SG
76,Alec Burks,114,2018-19,106.0,19.0,-0.1,1.5,12.7,82.0,27.0,TOT,NBA,64.0,24.0,1375.0,6.8,16.9,4.7,10.9,2.2,6.0,4.1,5.0,1.1,7.3,8.4,4.6,1.4,0.7,2.3,3.2,20.0,0.405,0.428,0.363,0.469,0.823,0.523,2018,SG
77,Alec Burks,114,2018-19,106.0,19.0,-0.1,1.5,12.7,82.0,27.0,TOT,NBA,64.0,24.0,1375.0,6.8,16.9,4.7,10.9,2.2,6.0,4.1,5.0,1.1,7.3,8.4,4.6,1.4,0.7,2.3,3.2,20.0,0.405,0.428,0.363,0.469,0.823,0.523,2018,SG
